step,epoch,train_loss,val_loss,val_acc,swap_acc,gap
25,0.25,0.788,0.7348,0.51,0.5,0.010000000000000009
50,0.5,0.717,0.7262,0.52,0.535,-0.015000000000000013
75,0.75,0.7167,0.7127,0.545,0.515,0.030000000000000027
100,1.0,0.7161,0.7024,0.555,0.5,0.05500000000000005
125,1.25,0.688,0.6889,0.565,0.485,0.07999999999999996
150,1.5,0.7147,0.6983,0.565,0.52,0.04499999999999993
175,1.75,0.7302,0.6647,0.57,0.51,0.05999999999999994
200,2.0,0.6869,0.6972,0.575,0.51,0.06499999999999995
225,2.25,0.5535,0.5315,0.74,0.44,0.3
250,2.5,0.4733,0.5562,0.725,0.48,0.245
275,2.75,0.5967,0.3867,0.85,0.465,0.38499999999999995
300,3.0,0.4141,0.397,0.835,0.47,0.365
325,3.25,0.2888,0.4186,0.85,0.49,0.36
350,3.5,0.2411,0.4634,0.845,0.455,0.38999999999999996
375,3.75,0.4367,0.6903,0.755,0.49,0.265
400,4.0,0.2892,0.3582,0.87,0.45,0.42
425,4.25,0.1228,0.8507,0.82,0.45,0.36999999999999994
450,4.5,0.1651,0.6945,0.855,0.47,0.385
475,4.75,0.2068,0.554,0.895,0.47,0.42500000000000004
500,5.0,0.2897,0.6558,0.86,0.46,0.39999999999999997
525,5.25,0.0771,0.6205,0.9,0.465,0.435
550,5.5,0.071,0.6243,0.88,0.465,0.415
575,5.75,0.0277,0.6814,0.87,0.47,0.4
600,6.0,0.1201,0.6375,0.88,0.465,0.415
625,6.25,0.0291,0.6513,0.885,0.465,0.42
650,6.5,0.0388,0.6242,0.9,0.465,0.435
675,6.75,0.008,0.6776,0.895,0.47,0.42500000000000004
700,7.0,0.0008,0.6894,0.89,0.465,0.425
725,7.25,0.002,0.6921,0.885,0.46,0.425
750,7.5,0.0002,0.6835,0.88,0.465,0.415
775,7.75,0.0314,0.7104,0.885,0.48,0.405
800,8.0,0.0009,0.6966,0.89,0.475,0.41500000000000004
825,8.25,0.0003,0.7186,0.88,0.47,0.41000000000000003
850,8.5,0.0271,0.7325,0.88,0.46,0.42
875,8.75,0.0001,0.7078,0.875,0.465,0.41
900,9.0,0.0007,0.7264,0.88,0.47,0.41000000000000003
925,9.25,0.0002,0.7063,0.88,0.47,0.41000000000000003
950,9.5,0.0003,0.7152,0.89,0.475,0.41500000000000004
975,9.75,0.0264,0.7284,0.88,0.47,0.41000000000000003
1000,10.0,0.0002,0.7224,0.885,0.47,0.41500000000000004
1025,10.25,0.0236,0.7087,0.88,0.47,0.41000000000000003
1050,10.5,0.0002,0.7269,0.89,0.47,0.42000000000000004
1075,10.75,0.0003,0.7202,0.885,0.47,0.41500000000000004
1100,11.0,0.0001,0.7352,0.89,0.475,0.41500000000000004
1125,11.25,0.0239,0.7193,0.89,0.465,0.425
1150,11.5,0.0002,0.7269,0.89,0.475,0.41500000000000004
1175,11.75,0.0001,0.7277,0.885,0.48,0.405
1200,12.0,0.0001,0.7346,0.88,0.47,0.41000000000000003
1225,12.25,0.0232,0.7524,0.88,0.475,0.405
1250,12.5,0.0001,0.7339,0.885,0.48,0.405
1275,12.75,0.0001,0.7148,0.885,0.47,0.41500000000000004
1300,13.0,0.0001,0.7278,0.895,0.475,0.42000000000000004
1325,13.25,0.0225,0.7319,0.88,0.47,0.41000000000000003
1350,13.5,0.0002,0.7391,0.88,0.475,0.405
1375,13.75,0.0002,0.7362,0.89,0.47,0.42000000000000004
1400,14.0,0.0001,0.7205,0.89,0.475,0.41500000000000004
1425,14.25,0.0222,0.7186,0.885,0.47,0.41500000000000004
1450,14.5,0.0001,0.7326,0.89,0.475,0.41500000000000004
1475,14.75,0.0001,0.7374,0.885,0.475,0.41000000000000003
1500,15.0,0.0002,0.7271,0.89,0.475,0.41500000000000004
1525,15.25,0.0219,0.7443,0.88,0.475,0.405
1550,15.5,0.0002,0.7317,0.885,0.47,0.41500000000000004
1575,15.75,0.0002,0.7425,0.885,0.475,0.41000000000000003
1600,16.0,0.0001,0.7365,0.89,0.475,0.41500000000000004
